length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time,label
12,0,2,2,9,0,0,3.2516291673878226,0.0,0,0,0,0,1
20,0,5,6,13,0,0,3.784183719779189,0.0,0,0,0,0,1
13,0,1,6,4,0,1,2.353533948577482,0.0,0,0,0,365,1
22,0,3,6,14,0,0,3.697845823084412,0.0,1,0,159,5844,1
17,2,4,7,9,0,0,3.4548223999466057,1.0,2,2,1034,731,0
10,6,3,4,5,0,0,2.9219280948873623,0.86,1,0,30,365,0
16,4,3,4,11,0,0,3.625,0.6661450559327202,1,5,993,5844,0
14,4,4,5,8,0,0,3.521640636343319,0.6748227617792835,0,5,992,5479,0
6,0,3,3,3,0,0,2.584962500721156,0.0,0,0,0,0,1
6,0,2,2,3,0,0,2.584962500721156,0.0,0,0,0,0,1
10,2,4,5,4,0,0,3.121928094887362,1.0,1,1,18,0,1
10,2,3,3,6,0,0,3.321928094887362,1.0,1,3,805,0,0
12,4,3,4,7,0,0,3.4182958340544896,0.9333333333333332,1,3,0,0,1
21,0,4,8,11,0,0,3.403989446485262,0.0,0,0,0,7304,1
22,0,4,6,13,1,0,3.606936732175321,0.0,0,0,27,5114,1
11,4,4,4,6,0,0,3.095795255,0.689425479,1,5,0,3652,0
10,2,3,4,5,0,0,2.9219280948873623,1.0,2,1,23,0,1
13,2,4,5,7,0,0,3.3927474104487847,1.0,1,1,1321,731,0
15,2,4,5,6,1,0,3.323231429,1.0,1,1,35,0,1
10,2,2,2,4,3,0,3.1219280948873624,1.0,1,0,28,365,0
13,2,4,6,6,0,0,3.238901256602631,1.0,1,5,337,10227,0
13,0,1,3,9,0,0,3.0269868333592878,0.0,0,0,0,0,1
11,0,3,3,7,0,0,3.277613437,0.0,1,0,0,0,1
19,2,5,8,10,0,0,3.826874881864638,1.0,1,3,454,1096,0
7,6,3,4,2,0,0,2.5216406363433186,0.8561290322580644,1,2,524,13884,0
19,2,4,6,11,0,1,3.431623565847431,1.0,1,1,510,10593,1
13,4,3,5,7,0,0,3.238901257,0.666835187,1,3,831,5114,0
14,6,1,2,10,1,0,3.378783493486176,0.8601612903225805,0,0,0,1826,0
17,0,3,5,11,0,0,3.381580488309164,0.0,0,0,0,0,1
14,2,3,5,8,0,0,3.235926350629033,1.0,1,2,27,4748,0
18,0,3,3,12,1,0,3.419381945646371,0.0,1,0,10,6574,1
17,2,3,5,11,0,0,3.29277019393699,1.0,1,3,627,0,0
25,2,5,9,15,0,0,3.893660689688186,1.0,1,1,1083,2191,1
20,0,4,8,11,0,0,3.6086949695628414,0.0,0,0,27,0,1
13,3,3,4,8,0,0,3.39274741,0.944444444,1,2,2804,10226,0
20,0,3,6,12,0,0,3.5841837197791886,0.0,1,1,112,5844,1
11,0,2,2,8,0,0,3.277613437,0.0,1,0,0,0,1
18,0,4,6,10,0,0,3.614369445886757,0.0,0,0,0,0,1
9,0,3,3,5,0,0,2.725480556997868,0.0,0,0,0,0,1
25,0,4,7,16,0,0,3.6430741894285696,0.0,0,0,0,9131,1
17,4,5,7,9,0,0,3.616874605956222,0.7328042328042329,1,2,6,365,1
12,3,3,5,6,0,0,3.188721876,0.952380952,1,1,735,11687,0
9,0,4,4,4,0,0,2.94770277922009,0.0,0,0,0,0,1
12,4,3,4,7,0,0,3.2516291673878226,0.9666666666666668,1,1,6782,2192,0
11,3,3,4,6,0,0,3.277613436819116,0.8716397849462366,1,1,43,0,0
13,2,2,3,9,0,0,3.180832987205441,1.0,1,5,2743,0,0
21,4,5,6,14,0,0,3.748994803525096,0.7417989417989418,1,2,369,9497,1
23,0,2,2,7,11,1,4.088779347361362,0.0,0,0,27,6940,1
12,4,2,4,6,0,0,2.855388542,0.933333333,1,1,310,0,0
10,4,2,3,6,0,0,3.1219280948873624,0.6964883560434623,1,5,953,6940,0
17,2,3,5,10,0,0,3.4992275471326924,1.0,1,1,474,9498,0
27,2,5,12,13,0,0,3.6339740759971577,1.0,2,1,0,0,1
12,4,3,5,6,0,0,3.084962500721156,0.5938271604938272,1,4,2141,11689,0
12,2,3,3,6,0,1,3.2516291673878226,1.0,1,5,0,0,0
14,0,3,4,8,0,1,3.378783493486176,0.0,0,0,0,0,1
24,0,4,9,12,0,0,3.5220552088742005,0.0,1,0,0,0,1
15,2,3,5,9,0,0,3.506890595608519,1.0,1,0,91,4018,0
12,4,3,3,8,0,0,3.584962501,0.666145056,0,5,788,6575,0
27,0,4,10,15,0,0,3.602316558505552,0.0,0,0,20,6940,1
16,2,5,6,8,0,0,3.5,1.0,1,2,686,0,1
12,0,3,4,7,0,0,3.2516291673878226,0.0,0,0,0,0,1
20,2,4,9,8,0,2,3.421928095,1.0,1,1,552,4748,1
18,2,4,7,10,0,0,3.3082708345352603,0.0,0,1,0,5844,0
19,2,3,6,11,0,0,3.6818808028034025,1.0,1,2,0,365,1
12,6,5,6,5,0,0,3.418295834054489,0.6071459601894383,0,2,0,15366,0
16,0,4,7,8,0,0,3.202819531114783,0.0,0,0,0,0,1
16,2,3,6,9,0,0,3.1556390622295662,1.0,1,1,2367,2557,0
13,2,2,4,8,0,0,3.180832987205441,1.0,1,1,173,4018,1
14,5,3,4,9,0,0,3.378783493486176,0.6683956594783663,0,0,0,7670,0
14,5,3,5,8,0,0,3.0391486719030705,0.9565217391304348,1,0,31,8036,1
13,0,3,4,8,0,0,3.180832987,0.0,1,0,0,0,1
16,0,4,6,8,1,0,3.625,0.0,0,0,27,0,1
17,0,4,7,9,0,0,3.572469458770135,0.0,0,0,0,0,1
15,4,3,5,9,0,0,3.240223928941852,0.6516758416657304,1,5,43,7304,1
20,0,4,6,13,0,0,3.684183719779189,0.0,0,0,27,0,1
10,2,3,4,5,0,0,2.721928094887362,1.0,1,1,1164,0,0
15,4,5,6,8,0,0,3.640223928941851,0.7038946934801332,1,1,1,7305,0
15,2,4,6,8,0,0,3.373557262275185,1.0,1,5,4736,3287,0
19,0,4,4,14,0,0,3.826874882,0.0,1,0,0,0,1
15,2,3,6,8,0,0,3.1898980954642875,1.0,1,1,12,0,0
8,2,2,2,5,0,0,2.5,1.0,1,2,4053,12055,0
10,2,2,2,7,0,0,3.1219280948873624,1.0,1,3,507,730,0
15,2,3,3,11,0,0,3.5898980954642865,1.0,2,2,38,730,1
18,0,5,8,9,0,0,3.5032583347756456,0.0,0,0,0,0,1
16,2,3,6,9,0,0,3.452819531114783,1.0,1,1,562,731,0
11,6,2,2,8,0,0,3.095795255,0.642754558,1,2,2274,11322,0
31,2,5,15,15,0,0,3.652114762754608,1.0,1,3,308,0,0
19,0,2,4,12,1,0,3.576617645,0.0,1,0,51,3287,1
10,2,1,3,6,0,0,2.8464393446710154,0.0,0,0,512,0,0
14,4,3,5,8,0,0,3.3248629576173565,0.6818335018537244,1,1,484,7305,0
10,4,1,1,5,3,0,3.1219280948873624,0.8333333333333334,1,0,55,365,0
17,0,3,5,10,0,1,3.572469458770136,0.0,0,0,27,0,1
9,2,2,3,4,0,1,2.94770277922009,1.0,1,3,0,4018,1
11,0,2,2,8,0,0,3.459431618637298,0.0,0,0,27,0,1
20,2,4,7,12,0,0,3.784183719779189,1.0,1,1,925,4383,1
10,6,2,4,5,0,0,2.8464393446710154,0.8387813620071684,1,1,478,8401,0
20,0,5,11,8,0,0,3.3464393446710154,0.0,0,0,0,0,1
17,0,4,5,11,0,0,3.572469458770136,0.0,0,0,27,0,1
13,0,2,4,8,0,0,3.334679141,0.0,1,0,0,0,1
17,0,4,5,10,0,0,3.616874605956222,0.0,1,0,77,5479,1
12,3,2,4,7,0,0,3.188721875540867,0.8716397849462366,1,1,1117,0,0
9,2,1,3,4,1,0,2.419381946,1.0,1,0,221,0,0
13,4,4,6,6,0,0,3.0269868333592878,0.6897700097902323,0,1,0,2191,0
11,0,3,4,6,0,0,2.7321588913645702,0.0,0,0,0,0,1
21,0,4,6,12,0,0,3.3273399000835093,0.0,0,0,27,0,1
11,2,2,3,5,2,0,3.277613437,1.0,1,0,514,2557,0
8,4,1,1,6,0,0,2.75,0.674426094,1,1,0,0,0
11,2,2,4,6,0,0,3.095795255,1.0,1,5,9694,6940,0
31,0,4,6,15,6,2,4.260332601,0.0,1,0,0,3652,1
9,8,3,4,4,0,0,2.947702779,0.818262722,1,1,1411,0,0
6,4,2,2,2,1,0,2.584962500721156,0.9473684210526316,0,1,0,4018,0
15,2,3,6,8,0,0,3.006238929,1.0,1,1,238,4383,1
14,6,3,5,8,0,0,3.378783493,0.570152505,1,5,618,9131,0
16,4,4,6,8,0,0,3.5,0.8398224043715846,1,1,0,0,0
10,2,2,3,6,0,0,2.9219280948873623,1.0,1,0,78,731,0
17,2,2,6,10,0,0,3.381580488309163,1.0,1,2,229,4383,1
21,4,3,8,12,0,0,3.5225715891363607,0.9473684210526316,1,1,1349,3653,1
12,12,4,5,5,0,0,3.084962500721156,0.7626262626262627,1,5,510,0,1
8,2,2,2,5,0,0,3.0,1.0,1,0,3,365,1
13,0,3,5,7,0,0,3.238901257,0.0,1,0,0,0,1
12,0,4,4,7,0,0,3.4182958340544896,0.0,0,0,0,0,1
15,4,2,4,10,0,0,3.373557262,0.682230204,1,2,0,10957,0
12,2,3,3,6,2,0,3.4182958340544896,1.0,1,0,661,1095,0
9,0,2,2,6,0,0,2.725480556997868,0.0,0,0,0,0,1
13,4,2,4,7,0,0,3.026986833,0.933333333,1,1,308,9862,0
15,0,2,5,9,0,0,3.106890596,0.0,1,0,0,0,1
11,0,4,4,6,0,0,3.277613437,0.0,1,0,0,0,1
15,3,4,4,9,0,0,3.506890595608519,0.9473684210526316,1,4,386,7305,1
14,0,4,5,8,0,0,3.521640636,0.0,1,0,0,0,1
19,0,5,6,11,0,0,4.037401197654112,0.0,0,0,0,0,1
13,2,4,5,7,0,0,3.238901256602631,1.0,1,0,244,365,1
19,0,4,6,12,0,0,3.4058222502856905,0.0,0,0,0,0,1
11,0,3,4,6,0,0,3.095795255000934,0.0,0,0,0,0,1
26,0,3,9,16,0,0,3.449311833026446,0.0,0,0,0,0,1
12,0,4,5,6,0,0,3.418295834,0.0,1,0,0,0,1
8,4,2,2,5,0,0,3.0,0.9473684210526316,0,5,0,12419,0
20,0,5,8,10,0,0,3.7219280948873625,0.0,0,0,0,0,1
16,0,4,5,9,0,0,3.625,0.0,0,0,0,0,1
16,2,2,6,9,0,0,3.125,1.0,1,5,259,6575,0
17,2,3,6,9,0,1,3.101881223476018,1.0,1,0,2784,365,0
7,8,3,3,3,0,0,2.807354922057604,0.7720170744756591,1,1,320,14679,0
20,4,4,7,12,0,0,3.784183719779189,0.7547648430001371,1,1,229,1461,0
17,2,3,6,10,0,0,3.4548224,1.0,1,3,41,365,1
12,2,2,5,6,0,0,2.584962501,1.0,2,1,661,9861,0
13,2,3,3,8,1,0,3.39274741,1.0,1,0,0,731,0
16,2,2,5,10,0,0,3.375,1.0,1,0,525,365,0
21,2,4,9,11,0,0,3.558518613,1.0,1,0,0,1826,0
13,0,2,4,7,0,1,3.238901256602631,0.0,0,0,0,0,1
12,4,4,5,6,0,0,3.418295834,0.651146741,1,5,3040,10227,0
20,2,4,8,11,0,0,3.4464393446710155,1.0,0,5,851,1095,0
16,4,3,5,9,0,0,3.577819531114783,0.9411764705882352,1,1,87,5843,0
11,0,2,3,7,0,0,3.095795255000934,0.0,0,0,0,0,1
21,0,3,9,11,0,0,3.0230370655328804,0.0,0,0,27,0,1
9,2,2,3,5,0,0,2.94770277922009,1.0,1,1,1401,2192,0
10,2,3,3,6,0,0,3.321928094887362,1.0,1,1,70,10226,0
5,3,2,2,2,0,0,2.321928094887362,0.9,1,1,569,9889,0
14,0,3,6,6,0,1,2.950212064914747,0.0,0,0,27,0,1
13,2,4,6,6,0,0,3.238901256602631,1.0,1,0,0,4383,1
11,4,2,3,7,0,0,2.8453509366224368,0.9333333333333336,1,3,24,0,1
15,2,3,5,9,0,0,3.323231428797621,1.0,1,2,0,5479,0
11,2,4,5,5,0,0,3.277613437,1.0,1,7,657,9132,0
17,0,3,4,11,0,0,3.219528282,0.0,0,0,504,9496,1
8,4,2,2,5,0,0,3.0,0.4624419102208157,1,5,0,8401,0
12,4,4,4,7,0,0,3.418295834054489,0.9666666666666668,1,5,2814,6940,0
15,6,4,6,8,0,0,3.323231429,0.838978495,1,2,0,10957,0
15,4,4,5,9,0,0,3.506890596,0.933333333,1,5,834,10959,0
17,2,3,5,10,0,0,3.4548223999466057,0.0,0,1,0,1096,1
11,2,2,2,8,0,0,3.4594316186372973,1.0,1,1,931,2191,0
9,4,2,3,5,0,0,2.94770277922009,0.6823626023828249,1,5,1100,0,0
12,4,4,4,7,0,0,3.2516291673878226,0.9411764705882354,1,1,118,6940,0
17,2,3,4,12,0,0,3.3371753411230767,1.0,1,5,11,4018,0
10,3,3,4,4,0,0,2.721928094887362,0.9545454545454546,1,1,709,1826,0
10,8,2,4,5,0,0,2.7219280948873625,0.818262721755369,1,1,56,11321,0
12,6,3,3,8,0,0,3.188721876,0.941176471,0,0,0,5844,0
15,0,3,5,9,0,0,3.1898980954642875,0.0,0,0,0,0,1
8,4,0,0,7,0,0,2.5,0.9230769230769232,0,0,0,5113,0
15,0,3,5,9,0,0,3.189898095,0.0,1,0,0,0,1
11,0,2,3,7,0,0,3.095795255000934,0.0,0,0,0,0,1
21,2,3,7,13,0,0,3.748994803525097,1.0,1,1,0,1826,1
9,0,1,1,5,2,0,2.947702779,0.0,1,0,0,0,1
11,2,4,5,5,0,0,2.8453509366224368,1.0,1,1,1236,4748,0
13,0,4,5,7,0,0,3.3927474104487847,0.0,0,0,0,0,1
10,8,1,3,6,0,0,2.8464393446710154,0.7026857684752421,1,5,0,8401,0
16,2,4,7,8,0,0,3.452819531114783,1.0,1,1,1372,365,0
14,5,4,5,8,0,0,3.378783493,0.947368421,1,4,1970,8766,0
13,2,4,7,5,0,0,3.0269868333592878,1.0,1,1,0,0,0
14,2,2,3,10,0,0,3.1820058147602133,1.0,1,0,173,2192,1
22,0,5,9,12,0,0,3.538310595615006,0.0,0,0,0,0,1
6,4,2,2,3,0,0,2.2516291673878226,0.9375,1,0,872,0,0
10,2,3,3,6,0,0,3.1219280948873624,1.0,1,2,1268,0,0
8,4,1,1,6,0,0,2.405639062,0.947368421,1,4,2382,10226,0
13,2,2,3,9,0,0,3.546593564294939,1.0,1,0,387,365,0
14,4,4,5,8,0,0,3.378783493,0.659083249,1,1,721,8400,0
11,2,1,1,8,1,0,3.027169118,0.0,0,0,0,2922,0
10,0,2,2,6,1,0,2.846439344671016,0.0,0,0,27,0,1
18,2,4,7,9,0,1,3.614369446,1.0,1,1,30,3653,1
11,0,3,3,5,1,0,3.095795255000934,0.0,1,0,260,6573,1
15,2,4,5,9,0,0,3.640223928941852,1.0,1,3,552,5114,0
10,2,3,3,6,0,0,3.1219280948873624,1.0,1,3,657,2191,0
9,8,3,4,4,0,0,2.725480556997868,0.818262721755369,1,1,2075,7670,0
16,0,4,6,9,0,0,3.577819531114783,0.0,0,0,0,0,1
16,0,2,2,5,7,0,3.625,0.0,1,0,0,6209,1
12,0,3,5,6,0,0,3.188721875540867,0.0,0,0,27,0,1
14,0,3,4,9,0,0,3.521640636343318,0.0,0,0,0,365,0
9,6,2,4,4,0,0,2.641604168,0.848079965,1,3,3084,0,0
20,0,4,7,12,0,0,3.546439344671016,0.0,0,0,0,0,1
13,0,3,5,7,0,0,3.085055103,0.0,1,0,0,0,1
9,2,2,2,6,0,0,2.94770277922009,1.0,1,4,855,7305,0
26,0,3,10,13,2,0,3.5364142371222305,0.0,0,0,0,0,1
17,2,4,5,10,0,0,3.7345216647797512,1.0,1,1,164,731,0
21,2,4,8,12,0,0,3.6537567082870015,1.0,1,1,307,4748,0
7,3,1,2,4,0,0,1.950212065,0.85,1,2,876,10144,0
11,2,4,4,6,0,0,3.095795255,0.0,0,0,0,3287,0
15,2,4,5,9,0,0,3.640223928941852,1.0,1,2,1329,1461,0
11,2,3,4,5,0,0,2.913977073182752,1.0,1,5,378,0,0
16,0,3,4,11,0,0,3.577819531114783,0.0,0,0,0,365,0
16,0,3,5,10,0,0,3.452819531114783,0.0,0,0,0,365,0
8,0,1,1,6,0,0,2.75,0.0,0,0,27,0,1
13,4,3,4,8,0,0,3.180832987,0.666674156,1,1,1230,6575,0
8,4,3,5,2,0,0,2.5,0.6735524633401276,1,1,2107,5113,0
15,10,4,5,9,0,0,3.323231428797621,0.938624338624338,0,1,0,9497,0
10,6,1,1,8,0,0,3.1219280948873624,0.9333333333333336,0,0,0,4383,0
18,2,4,8,9,0,0,3.683542362433231,1.0,1,2,1290,6979,0
14,0,4,4,7,1,0,3.521640636343318,0.0,0,0,0,10593,1
12,8,3,5,6,0,0,3.2516291673878226,0.5767320085929108,2,1,481,11689,0
9,5,4,4,4,0,0,3.169925001442312,0.9285714285714286,1,2,2,10593,0
16,3,3,6,9,0,0,3.327819531114783,0.8258064516129032,1,0,1035,4748,0
15,0,3,4,9,0,0,3.506890595608519,0.0,0,0,0,0,1
18,0,4,6,11,0,0,3.8365916681089782,0.0,0,0,0,0,1
11,4,5,5,5,0,0,3.459431618637298,0.9411764705882354,1,1,118,6209,0
20,0,4,9,10,0,0,3.6219280948873616,0.0,0,0,0,0,1
9,0,3,3,5,0,0,2.94770277922009,0.0,0,0,27,0,1
11,2,3,5,5,0,0,2.663532755,1.0,1,2,5905,10781,0
19,2,5,5,13,0,0,3.997670276487612,1.0,1,5,721,5478,1
17,2,3,6,10,0,0,3.381580488,1.0,1,1,1153,8400,0
7,3,2,3,3,0,0,2.235926350629033,0.8245614035087719,1,2,0,6939,0
16,4,4,5,10,0,0,3.75,0.7456140350877193,1,2,449,1096,0
10,3,2,3,6,0,0,3.1219280948873624,0.5708061002178649,1,1,85,5479,0
15,4,1,3,9,0,2,3.323231428797621,0.95,0,0,0,2922,0
17,0,4,7,9,0,0,3.29277019393699,0.0,0,0,0,731,1
