length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
10,4,2,4,5,0,0,2.6464393446710153,0.9333333333333335,1,1,307,11322
13,4,2,4,8,0,0,3.0269868333592873,0.8313030638612035,1,1,350,12785
16,13,2,5,9,0,1,3.0306390622295662,0.9473684210526304,0,0,0,13879
7,2,3,3,3,0,0,2.807354922057604,1.0,1,1,809,10230
12,4,3,5,6,0,0,3.0220552088742,0.9444444444444445,1,1,177,13514
13,4,2,5,7,0,0,3.0269868333592873,0.6900067508985116,1,1,1499,7821
7,2,2,2,4,0,0,2.807354922057604,1.0,1,1,2,8767
9,4,3,3,5,0,0,2.94770277922009,0.9333333333333335,1,6,834,14246
11,4,3,5,5,0,0,3.0957952550009344,0.9333333333333335,1,1,419,7670
14,4,4,6,7,0,0,3.3248629576173565,0.9333333333333335,1,0,0,7670
14,5,4,5,8,0,0,3.378783493486176,0.9473684210526316,1,4,1970,8766
10,13,3,5,4,0,0,2.8464393446710154,0.8688556308386632,0,2,0,9862
13,4,3,4,8,0,0,3.3927474104487847,0.9473684210526315,1,2,210,10592
11,8,3,3,7,0,0,3.027169118440619,0.9206349206349204,1,10,176,9497
14,13,3,7,6,0,0,3.128085278891395,0.862850794081929,0,2,0,8766
11,4,3,3,7,0,0,3.095795255000934,0.9333333333333335,1,0,0,6575
10,4,3,4,5,0,0,2.721928094887362,0.8313030638612035,1,0,884,9862
9,4,4,4,4,0,0,3.169925001442312,0.8313030638612035,1,1,0,11322
12,8,3,4,7,0,0,3.2516291673878226,0.5691229837010484,1,4,739,8401
8,4,3,3,4,0,0,3.0,0.8313030638612035,1,1,350,11322
15,4,3,7,7,0,0,3.106890595608519,0.9333333333333335,1,0,252,8401
20,4,3,8,11,0,0,3.2464393446710154,0.9333333333333335,1,0,0,5114
13,4,2,4,7,0,1,3.334679141051595,0.9444444444444445,0,0,0,730
10,8,2,4,5,0,0,2.7219280948873625,0.818262721755369,1,1,56,11321
9,4,1,1,7,0,0,2.94770277922009,0.9444444444444445,2,0,177,9497
10,9,2,3,6,0,0,2.9219280948873623,0.6754056688267215,0,2,0,9861
13,3,4,6,6,0,0,3.334679141051595,0.9444444444444443,1,2,1043,9131
13,6,2,3,9,0,0,3.0850551027564768,0.8512724014336917,0,0,0,2922
19,4,3,7,11,0,0,3.40582225028569,0.8313030638612035,0,1,0,8401
11,2,2,3,7,0,0,3.095795255000934,1.0,1,0,372,0
15,4,4,5,9,0,0,3.506890595608519,0.9333333333333335,1,5,834,10959
21,4,3,8,12,0,0,3.4039894464852614,0.9333333333333335,1,0,0,6209
17,4,5,6,10,0,0,3.734521664779752,0.8388888888888889,0,0,0,10591
12,4,1,3,7,0,1,3.0220552088742,0.9411764705882354,0,0,0,4383
10,8,3,3,6,0,0,3.321928094887362,0.5478366633906195,1,5,1544,6940
18,4,3,6,11,0,0,3.350209029099897,0.790079365079365,0,0,0,7305
13,4,2,3,8,0,1,3.238901256602631,0.9333333333333335,0,0,0,4383
10,4,3,4,5,0,0,2.9219280948873623,0.8313030638612035,0,0,0,11322
10,4,2,2,7,0,0,3.121928094887362,0.9333333333333335,1,2,1292,5844
10,4,3,4,5,0,0,2.9219280948873623,0.9333333333333335,1,2,56,9862
13,4,2,3,9,0,0,3.0269868333592873,0.9444444444444445,1,1,652,8401
12,4,2,3,8,0,0,3.084962500721156,0.9444444444444445,2,0,1209,9131
11,4,3,4,6,0,0,3.0957952550009344,0.9333333333333335,0,0,0,4748
9,4,2,2,6,0,0,3.169925001442312,0.8388888888888889,1,1,642,8401
12,2,1,3,7,0,1,3.188721875540867,0.0,0,0,0,4383
8,8,2,2,5,0,0,3.0,0.5544136910219801,1,1,222,10959
17,6,3,5,9,0,2,3.4548223999466066,0.9545454545454549,0,0,0,1096
8,4,3,4,3,0,0,2.75,0.9333333333333335,1,2,419,0
11,4,3,3,7,0,0,3.459431618637298,0.6672554281471887,2,5,108,10226
13,4,3,4,8,0,0,3.392747410448785,0.9316816816816819,1,5,0,6209
17,8,3,6,10,0,0,3.2639334294856344,0.5988678660049629,0,2,0,9094
12,3,2,4,6,0,1,3.188721875540867,0.9411764705882352,0,0,0,4383
14,4,4,5,8,0,0,3.6644977792004623,0.8388888888888889,1,1,350,9861
16,4,3,3,12,0,0,3.75,0.681465431920437,1,0,0,3653
9,5,2,4,4,0,0,2.6416041678685938,0.9285714285714286,1,3,2302,11324
12,10,3,4,7,0,0,3.2516291673878226,0.6592592592592591,1,1,1909,11321
21,4,4,8,12,0,0,3.630412660873998,0.9333333333333335,1,1,309,8400
6,4,1,2,3,0,0,1.9182958340544893,0.9333333333333335,1,0,637,7498
12,4,2,3,8,0,0,3.2516291673878226,0.9444444444444445,2,2,1209,9131
14,4,3,4,9,0,0,3.378783493486176,0.6592432096982148,0,0,0,6574
9,6,3,4,4,0,0,2.9477027792200903,0.8254032258064515,2,2,0,14425
16,4,1,3,11,0,1,3.327819531114783,0.9285714285714287,0,0,0,14245
9,4,3,4,4,0,0,2.725480556997868,0.6658577729417947,0,5,2012,7670
11,5,2,3,7,0,0,3.277613436819116,0.6983673469387754,1,7,62,8766
11,4,3,3,7,0,0,3.0957952550009344,0.8313030638612035,1,0,995,11256
10,8,1,3,6,0,0,2.8464393446710154,0.7026857684752421,1,5,0,8401
11,6,2,3,7,0,0,2.9139770731827523,0.8512724014336917,1,0,0,2922
7,8,1,1,5,0,0,2.5216406363433186,0.5491872101857432,1,1,37,11529
7,4,1,1,5,0,0,2.807354922057604,0.4857142857142857,1,1,105,13880
8,4,1,1,5,1,0,3.0,0.9333333333333335,0,0,0,6574
