length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
10,2,1,1,4,3,1,3.321928095,1,1,0,1386,2922
9,2,2,2,3,3,0,3.169925001,1,0,0,49,4748
7,7,1,1,2,3,0,2.807354922,0.668977848,1,4,20,10956
7,7,1,1,2,3,0,2.521640636,0.916666667,1,0,17,10226
11,2,2,3,5,2,0,3.095795255,1,1,0,0,2557
5,7,1,1,2,1,0,2.321928095,0.754989905,1,2,507,10610
8,4,1,1,5,1,0,3,0.831303064,1,0,350,4383
7,2,1,1,4,1,0,2.521640636,1,1,5,0,9131
6,4,2,2,2,1,0,2.584962501,0.947368421,0,1,0,4018
12,4,4,4,5,2,0,3.418295834,0.689822181,1,1,5206,0
10,3,1,1,5,2,0,3.121928095,0.9375,1,6,1837,0
8,7,2,2,4,1,0,3,0.783260073,1,1,436,8034
8,4,1,1,5,1,0,2.75,0.933333333,0,0,0,7670
12,6,2,3,6,2,0,2.918295834,0.86,1,5,0,6940
6,6,0,0,2,3,0,2.584962501,0.941176471,1,3,1520,8401
11,7,3,3,4,3,0,3.459431619,0.941176471,1,3,0,7670
11,2,2,4,5,1,0,2.913977073,1,1,7,998,9862
15,16,2,3,10,1,0,3.373557262,0.518791458,0,1,0,8766
9,4,2,2,5,1,0,3.169925001,0.726805977,1,0,1,4748
9,2,2,2,5,1,0,3.169925001,1,1,2,0,8036
7,2,3,3,2,1,0,2.807354922,0,0,0,0,3287
8,4,1,1,5,1,0,3,0.666306087,1,0,0,2557
11,2,2,3,5,2,0,3.277613437,1,1,0,514,2557
11,2,2,4,4,2,0,3.095795255,1,1,0,466,730
8,5,3,3,3,0,1,3,0.703201245,1,2,2,2922
12,3,2,4,6,0,1,3.188721876,0.941176471,0,0,0,4383
7,8,2,2,3,1,0,2.807354922,0.818262722,0,1,0,11451
9,6,2,4,4,0,0,2.641604168,0.848079965,1,3,3084,0
11,4,3,4,6,0,0,3.095795255,0.933333333,0,0,0,4748
10,8,3,4,4,0,0,2.921928095,0.774011709,1,2,1474,0
9,8,3,4,4,0,0,2.947702779,0.670385379,1,5,589,9861
13,2,4,6,6,0,0,3.39274741,1,1,2,0,5844
16,2,4,7,8,0,0,3.452819531,1,1,1,11,1826
12,4,4,7,4,0,0,2.855388542,0.65117028,1,3,1498,10309
15,6,4,6,8,0,0,3.323231429,0.838978495,1,2,0,10957
13,2,3,4,7,0,0,3.238901257,1,1,0,25,0
7,2,2,2,4,0,0,2.807354922,1,1,1,1249,13150
11,4,3,4,6,0,0,3.095795255,0.651491272,1,2,2455,12053
7,4,2,2,4,0,0,2.807354922,0.956521739,1,2,0,12785
7,2,2,2,4,0,0,2.807354922,1,1,2,1097,9560
15,2,3,5,8,0,1,3.456564762,1,1,0,33,3287
5,4,1,1,3,0,0,2.321928095,0.688735348,1,5,0,0
5,8,1,1,3,0,0,2.321928095,0.809851477,1,5,0,0
15,6,3,4,10,0,0,3.640223929,0.86,1,5,445,6940
