length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
23,0,2,2,7,11,1,4.0559581516151235,0.0,0,0,27,6940
23,0,2,2,7,11,1,4.088779347361362,0.0,0,0,27,6940
12,0,3,4,6,1,0,3.2516291673878226,0.0,0,0,0,0
38,0,3,8,14,10,0,4.0433370526326025,0.0,1,0,0,6209
18,0,3,5,8,3,0,3.5724312513221195,0.0,0,0,0,3652
16,0,2,2,5,7,0,3.577819531114783,0.0,1,0,0,6209
16,0,2,2,5,7,0,3.875,0.0,1,0,0,6209
16,0,2,2,5,7,0,3.75,0.0,1,0,0,6209
18,0,4,7,9,0,1,3.6835423624332306,0.0,0,0,27,0
15,0,3,5,8,0,1,3.5068905956085183,0.0,0,0,27,0
25,0,4,9,14,0,0,3.563074189428569,0.0,0,0,27,0
22,0,4,8,13,0,0,3.538310595615006,0.0,0,0,27,0
18,0,5,6,11,0,0,3.7254805569978675,0.0,0,0,27,0
22,0,2,7,12,0,1,3.261043983337285,0.0,1,0,194,3652
12,0,2,3,7,0,0,2.9182958340544896,0.0,1,0,8,10144
32,0,5,12,16,0,2,3.6167292966721747,0.0,0,0,27,5114
20,0,3,8,10,0,0,3.1414460711655217,0.0,1,0,194,3652
19,4,3,8,10,0,0,3.576617644908665,0.9666666666666667,1,5,2295,1096
12,0,2,3,7,1,0,3.084962500721156,0.0,0,0,0,0
27,0,4,10,15,0,1,3.8841550945958048,0.0,0,0,27,0
19,0,2,5,10,2,0,3.300559092390954,0.0,1,0,194,3652
21,0,4,7,13,0,0,3.653756708287001,0.0,0,0,27,0
17,0,3,5,11,0,0,3.381580488309164,0.0,0,0,0,0
14,0,4,5,8,0,0,3.521640636343319,0.0,0,0,27,0
15,0,2,3,10,0,1,3.3735572622751855,0.0,0,0,27,0
19,0,4,8,10,0,0,3.5766176449086657,0.0,0,0,27,0
21,0,3,7,13,0,0,3.4273334938982645,0.0,0,0,0,0
12,0,3,3,8,0,0,3.251629167387823,0.0,0,0,27,0
9,0,3,3,5,0,0,3.169925001442312,0.0,0,0,27,0
15,2,3,3,11,0,0,3.5898980954642865,1.0,2,2,38,730
21,0,2,8,12,0,0,3.368042422572716,0.0,0,0,27,0
25,0,4,6,17,0,0,3.893660689688186,0.0,1,1,112,5844
14,0,2,2,10,0,0,3.378783493486176,0.0,0,0,27,0
14,2,3,4,8,0,0,3.039148671903071,1.0,1,8,0,6209
22,0,2,7,12,1,0,3.390805482076982,0.0,1,0,0,8036
9,2,1,1,7,0,0,2.6416041678685933,1.0,1,3,462,4018
19,0,3,4,12,0,0,3.6421498816369033,0.0,1,2,0,0
19,0,3,6,12,0,0,3.6818808028034016,0.0,0,0,27,0
16,4,2,2,7,5,0,3.875,0.8709453405017923,1,2,375,6940
14,2,3,4,9,0,0,3.039148671903071,1.0,1,5,41,730
21,0,3,5,14,0,0,3.5944656369614516,0.0,1,0,0,7670
18,0,2,5,11,0,0,3.30827083453526,0.0,0,0,27,0
15,0,2,4,10,0,0,3.3735572622751855,0.0,0,0,27,0
11,0,2,4,6,0,0,2.6635327548042547,0.0,0,0,0,0
25,0,4,6,17,0,0,3.193269689515108,0.0,1,0,321,0
19,0,3,7,11,0,0,3.40582225028569,0.0,0,0,27,0
18,0,2,3,12,0,0,3.350209029099897,0.0,0,0,27,0
16,2,3,4,11,0,0,3.2806390622295662,1.0,1,2,3,4748
17,0,5,5,10,0,1,3.969815782426811,0.0,0,0,27,0
26,0,4,12,13,0,0,3.5035391228040247,0.0,0,0,27,0
10,0,2,3,6,0,0,2.9219280948873623,0.0,0,0,27,0
17,0,4,6,10,0,0,3.4548223999466066,0.0,0,0,27,0
11,0,2,3,7,0,0,2.8453509366224368,0.0,0,0,27,0
6,0,3,3,3,0,0,2.584962500721156,0.0,0,0,0,0
14,0,3,5,8,0,0,3.128085278891395,0.0,0,0,27,0
13,0,2,4,8,0,0,3.334679141051595,0.0,0,0,27,0
20,0,3,5,10,2,0,3.346439344671015,0.0,1,0,0,10144
16,2,4,8,6,0,0,3.327819531114783,1.0,1,1,18,0
11,2,3,5,5,0,0,3.095795255000934,1.0,1,1,0,6575
12,0,3,5,6,0,0,2.6258145836939115,0.0,0,0,27,0
17,0,3,6,10,0,0,3.3815804883091634,0.0,0,0,27,0
19,0,4,7,11,0,0,3.5766176449086653,0.0,0,0,27,0
