length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
7,2,0,0,4,2,0,2.521640636,1,1,0,31,365
7,0,1,1,1,4,0,2.521640636,0,1,0,0,0
14,0,2,4,7,2,0,3.235926351,0,1,0,0,0
6,3,0,0,3,2,0,1.918295834,0.825806452,1,1,1,0
7,0,1,1,3,2,0,2.807354922,0,1,0,0,0
10,2,3,3,4,1,0,3.121928095,1,1,5,64,2192
21,0,2,4,13,1,0,3.463280518,0,1,0,51,3287
10,0,1,1,3,5,0,3.121928095,0,1,0,0,0
12,0,1,1,2,8,0,3.251629167,0,1,0,0,0
15,2,4,5,6,1,0,3.323231429,1,1,1,35,0
19,0,3,4,8,5,0,3.681880803,0,1,0,0,2920
19,0,3,4,8,5,0,3.826874882,0,1,0,0,2920
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
19,0,3,4,8,5,0,3.826874882,0,1,0,0,2920
19,0,3,4,8,5,0,3.826874882,0,1,0,0,2920
19,0,3,4,8,5,0,3.826874882,0,1,0,0,0
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
19,0,3,4,8,5,0,3.826874882,0,1,0,0,2920
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
19,0,3,4,8,5,0,3.93213804,0,1,0,0,2920
12,0,3,3,7,1,0,3.251629167,0,1,0,0,0
4,0,2,2,2,0,0,2,0,1,0,0,0
6,0,2,2,4,0,0,2.584962501,0,1,0,0,0
5,0,2,2,3,0,0,2.321928095,0,1,0,0,0
7,0,3,3,4,0,0,2.521640636,0,1,0,0,0
16,0,2,2,5,7,0,3.625,0,1,0,0,6209
16,0,2,2,5,7,0,3.625,0,1,0,0,6209
7,0,2,2,2,2,0,2.807354922,0,1,0,0,365
19,4,2,4,7,6,0,3.536886724,0.857142857,1,2,51,3287
13,0,3,6,5,0,0,2.87314068,0,1,0,0,0
21,0,3,7,12,0,0,3.558518613,0,1,0,0,0
10,0,3,3,6,0,0,3.121928095,0,1,0,0,0
21,0,4,10,10,0,0,3.272804327,0,1,0,0,0
15,0,3,5,9,0,0,3.056564762,0,1,0,0,0
16,0,3,6,9,0,0,3.077819531,0,1,0,0,0
23,0,4,8,12,1,0,3.670968892,0,1,0,0,0
15,2,3,6,8,0,0,3.006238929,1,1,1,238,4383
11,0,4,5,5,0,0,3.095795255,0,1,0,0,0
13,0,3,5,7,0,0,3.39274741,0,1,0,0,0
10,0,2,3,5,0,0,2.921928095,0,1,0,0,3652
9,0,2,2,6,0,0,2.947702779,0,1,0,0,0
14,0,4,6,7,0,0,3.521640636,0,1,0,0,0
9,0,3,3,5,0,0,3.169925001,0,1,0,0,0
9,0,3,4,4,0,0,2.947702779,0,1,0,0,0
9,0,3,3,5,0,0,3.169925001,0,1,0,0,0
9,0,3,3,5,0,0,2.947702779,0,1,0,0,0
10,2,3,3,6,0,0,3.321928095,1,1,1,263,1096
21,0,5,8,11,0,0,3.558518613,0,1,0,49,7670
13,0,3,5,6,0,1,3.026986833,0,1,0,0,0
9,0,2,3,5,0,0,2.947702779,0,1,0,0,0
18,0,4,6,10,0,0,3.614369446,0,0,0,0,2192
19,0,5,7,10,0,0,3.576617645,0,1,0,51,3287
18,0,4,7,10,0,0,3.572431251,0,1,0,0,0
7,0,1,1,5,0,0,2.807354922,0,1,0,0,0
11,0,4,5,5,0,0,3.095795255,0,1,0,0,0
17,0,3,7,9,0,0,3.381580488,0,1,0,0,0
9,0,1,2,6,0,0,2.947702779,0,1,0,0,0
14,0,3,5,8,0,0,3.324862958,0,1,0,0,0
13,2,3,5,6,0,1,3.334679141,1,1,0,0,8035
15,0,3,5,9,0,0,3.506890596,0,1,0,0,0
