length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
14,2,3,3,9,0,0,2.8423709931771084,1.0,1,3,166,730
13,4,4,5,7,0,0,3.180832987205441,0.6901785714285714,1,2,245,3653
20,2,2,6,12,0,1,3.6219280948873624,1.0,1,0,0,381
11,4,2,2,6,2,0,3.4594316186372973,0.6744507037732518,1,2,788,0
10,2,3,3,5,1,0,3.1219280948873624,1.0,1,1,0,0
22,3,3,8,13,0,0,3.4251185503571397,0.960190136660725,1,3,1029,0
11,4,3,4,6,0,0,3.095795255000934,0.6811209013433482,1,1,989,2556
16,2,3,5,10,0,0,3.327819531114783,1.0,1,1,53,2191
13,4,3,5,7,0,0,3.0269868333592873,0.5300397563555458,1,5,6609,6573
8,2,3,3,4,0,0,2.75,1.0,1,2,1216,0
22,2,4,9,11,0,0,3.299896391167891,1.0,1,7,446,6940
16,2,3,7,8,0,0,3.202819531114783,1.0,1,1,235,10592
12,2,3,4,7,0,0,2.8553885422075336,1.0,1,3,0,3653
19,2,4,7,11,0,0,3.5368867237421675,1.0,1,0,1055,5479
16,0,4,4,11,0,0,3.625,0.0,0,0,0,365
17,0,3,4,12,0,0,3.29277019393699,0.0,0,0,0,365
10,3,2,3,6,0,0,2.9219280948873623,0.9090909090909091,1,4,1742,0
13,4,3,3,9,0,0,2.931208948910323,0.6735524633401276,2,0,2461,7671
13,2,3,3,9,0,0,3.3927474104487847,1.0,1,1,2576,3653
18,2,3,6,11,0,0,3.5032583347756456,1.0,1,2,33,1461
20,2,4,7,11,0,1,3.584183719779189,1.0,1,0,731,365
14,2,2,4,8,1,0,2.9852281360342516,1.0,1,0,143,365
15,4,3,4,9,0,1,3.506890595608519,0.7605820105820106,1,2,0,2922
6,2,1,1,4,0,0,2.584962500721156,1.0,1,1,273,9130
20,2,4,7,11,0,0,3.3464393446710154,1.0,1,2,0,1826
12,2,2,3,7,0,0,2.8553885422075336,1.0,1,1,1508,0
17,2,5,7,9,0,0,3.6901165175936645,1.0,1,10,619,8035
15,4,3,5,9,0,0,2.8225797618424915,0.7605820105820106,1,2,281,4383
19,2,4,7,11,0,0,3.5766176449086657,1.0,1,2,559,4018
18,4,4,7,8,0,1,3.197159723424149,0.9411764705882352,1,1,4654,5844
16,4,4,5,10,0,0,3.125,0.5300397563555458,1,1,0,4747
16,2,3,4,11,0,0,3.625,1.0,1,5,842,731
12,2,3,5,6,0,0,3.0220552088742005,1.0,1,1,4433,6995
10,2,2,2,5,2,0,2.9219280948873623,1.0,1,2,259,0
13,2,1,3,7,2,0,3.0269868333592873,1.0,1,0,48,365
12,2,1,1,9,0,0,2.584962500721156,1.0,1,5,636,12784
10,2,1,1,8,0,0,2.6464393446710157,1.0,1,1,0,7132
11,2,2,2,8,0,0,3.4594316186372973,1.0,1,1,931,2191
11,4,3,4,6,0,0,2.913977073182752,0.6900056809277753,1,1,3261,0
17,4,4,6,10,0,0,3.2195282822995472,0.6809834101037336,1,1,3305,0
17,2,5,7,9,0,0,3.4548223999466057,1.0,1,0,525,1825
9,2,3,3,5,0,0,3.169925001442312,1.0,1,1,645,0
17,4,5,7,9,0,0,3.7345216647797512,0.9090909090909091,1,1,2782,3672
17,2,4,6,9,0,1,3.616874605956222,1.0,1,0,0,365
16,2,3,4,10,0,1,3.75,1.0,1,0,0,365
17,3,4,5,10,0,0,3.616874605956222,0.9583333333333334,1,0,936,4748
14,3,3,3,10,0,0,3.6644977792004614,0.8414240730030204,1,0,890,365
18,2,4,5,12,0,0,3.6835423624332306,1.0,1,3,272,731
20,2,3,5,12,2,0,3.784183719779189,1.0,2,2,42,365
14,2,3,4,9,0,0,3.6644977792004614,1.0,1,2,930,0
21,2,4,7,13,0,0,3.463280517810811,1.0,1,0,0,2557
20,2,3,7,12,0,0,3.408694969562842,1.0,1,0,3,730
21,2,4,6,13,0,1,3.8208888513501886,1.0,1,1,0,7670
19,2,4,5,12,0,1,3.826874881864638,1.0,1,1,2077,2922
18,5,2,4,12,0,0,3.530493056757482,0.967741935483871,1,0,2146,1827
15,2,3,3,10,1,0,3.773557262275186,1.0,1,0,681,365
10,2,1,1,5,3,0,2.9219280948873623,1.0,1,0,1698,365
10,2,1,1,7,0,1,3.1219280948873624,1.0,1,0,1142,1461
10,0,1,1,4,4,0,3.1219280948873624,0.0,0,0,0,365
10,4,3,3,5,0,0,2.721928094887362,0.7982456140350878,1,0,0,0
12,4,3,4,7,0,0,3.2516291673878226,0.6737370332921394,1,0,406,0
22,3,5,9,12,0,0,3.6069367321753214,0.8245614035087719,1,2,0,2192
11,2,1,2,7,0,1,2.913977073182752,1.0,0,3,0,1461
14,2,2,4,9,0,0,3.3787834934861753,1.0,1,1,359,2922
12,2,3,4,7,0,0,3.2516291673878226,1.0,1,1,279,2191
17,4,3,4,11,0,0,3.3371753411230767,0.9629629629629629,1,0,32,1461
10,2,3,4,5,0,0,3.1219280948873624,1.0,1,5,0,0
11,2,1,2,4,4,0,2.913977073182752,1.0,1,0,115,731
6,2,0,0,5,0,0,2.2516291673878226,1.0,1,5,0,0
9,2,1,1,7,0,0,2.4193819456463714,0.0,0,0,0,1461
17,2,2,4,11,0,0,3.2195282822995472,1.0,1,3,1094,0
9,3,1,1,7,0,0,2.94770277922009,0.9249762583095916,1,4,0,8401
15,2,3,4,10,0,0,3.240223928941852,1.0,1,0,0,7305
11,2,1,1,8,0,0,2.913977073182752,1.0,1,1,1263,3652
17,2,3,6,9,0,0,3.2195282822995472,1.0,1,1,930,3692
13,1,3,4,7,0,1,3.546593564294939,1.0,1,1,0,0
13,2,3,4,7,0,0,3.238901256602631,1.0,1,2,504,0
15,2,5,6,8,0,0,3.240223928941852,0.0,0,0,0,365
21,0,5,8,10,2,0,3.594465636961452,0.0,0,0,0,365
15,2,3,6,8,0,0,3.323231428797621,1.0,1,1,785,2191
20,2,4,9,10,0,0,3.308694969562842,1.0,1,0,1735,1096
18,2,5,8,9,0,0,3.5724312513221195,1.0,1,1,1779,1096
28,2,5,14,13,0,0,3.6820058147602137,1.0,1,1,877,4748
12,2,4,5,5,1,0,3.2516291673878226,1.0,1,0,0,365
15,2,4,6,7,0,0,3.323231428797621,1.0,1,2,342,0
20,2,5,9,9,0,1,3.784183719779189,1.0,1,5,2155,2192
9,2,2,2,4,2,0,2.725480556997868,1.0,1,0,1418,365
23,2,5,9,13,0,0,3.7081320646586016,1.0,1,1,593,7670
15,4,3,5,8,0,0,3.240223928941852,0.704744785230124,1,0,722,0
15,2,4,6,8,0,0,3.3735572622751855,1.0,1,1,1592,2989
17,0,4,5,9,0,0,3.572469458770135,0.0,0,0,0,0
17,2,3,5,10,0,0,3.2195282822995472,1.0,1,1,369,3287
16,2,4,6,9,0,0,3.375,1.0,1,1,40,1826
7,4,2,2,4,0,0,2.8073549220576037,0.9090909090909091,1,0,0,4760
14,2,3,5,8,0,0,3.0391486719030705,1.0,1,0,0,365
15,4,3,6,7,0,1,3.323231428797621,0.9090909090909091,1,1,804,4749
10,0,2,3,6,0,0,2.9219280948873623,0.0,1,0,0,365
11,2,3,4,6,0,0,3.095795255000934,0.0,0,3,0,365
