length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
21,0,3,6,9,5,0,3.499227541723357,0.0,0,0,0,0
8,0,1,1,5,1,0,3.0,0.0,0,0,0,0
39,0,3,9,23,5,0,3.8282503874953138,0.0,1,0,0,2191
20,3,4,7,11,1,0,3.7219280948873625,0.631578947368421,1,5,21,0
12,4,4,4,5,2,0,3.584962500721156,0.9033796127146511,1,1,13,0
17,0,1,1,1,14,0,3.29277019393699,0.0,0,0,0,0
15,0,3,3,6,5,0,3.640223928941852,0.0,0,0,0,0
12,0,2,2,6,3,0,3.4182958340544896,0.0,0,0,0,0
11,0,3,3,4,3,0,3.2776134368191157,0.0,0,0,0,0
17,0,1,2,8,5,0,3.381580488309163,0.0,0,0,504,10227
10,0,2,2,6,1,0,3.1219280948873624,0.0,0,0,0,0
16,0,1,1,2,12,0,3.25,0.0,0,0,0,0
8,3,1,3,3,1,0,2.4056390622295662,0.9565217391304349,1,1,20,8765
11,0,3,4,5,1,0,3.095795255000934,0.0,0,0,0,0
12,0,2,2,6,3,0,3.584962500721156,0.0,0,0,0,0
13,0,2,3,6,2,0,3.3927474104487847,0.0,0,0,0,0
12,0,3,3,5,3,0,3.0220552088742005,0.0,0,0,0,0
10,2,3,3,5,1,0,3.1219280948873624,1.0,1,1,94,365
12,0,2,4,5,2,0,3.0220552088742005,0.0,0,0,0,0
12,0,3,4,6,0,0,2.688721875540867,0.0,0,0,0,0
29,0,4,11,16,0,0,3.7024715122197467,0.0,0,0,504,8034
33,2,4,12,20,0,0,3.861983513035609,1.0,1,0,122,2922
10,0,2,4,5,0,0,2.721928094887362,0.0,0,0,0,0
14,2,3,3,8,0,1,3.3787834934861753,1.0,1,1,805,10592
12,2,3,3,8,0,0,3.2516291673878226,1.0,1,0,3,8401
15,0,4,6,8,0,0,3.240223928941852,0.0,0,0,0,0
13,2,4,6,6,0,0,3.3927474104487847,1.0,1,0,0,365
13,0,4,5,7,0,0,3.3927474104487847,0.0,0,0,0,0
20,0,4,9,10,0,0,3.6219280948873624,0.0,0,0,0,0
20,0,3,6,13,0,0,3.308694969562842,0.0,0,0,0,0
25,0,4,9,13,0,1,3.733660689688186,0.0,0,0,0,6209
23,0,3,9,12,0,0,3.1705438917629367,0.0,1,0,246,0
14,0,2,4,9,0,0,3.1820058147602133,0.0,0,0,0,0
10,0,3,3,6,0,0,3.3219280948873626,0.0,0,0,0,0
16,0,4,8,6,0,0,3.202819531114783,0.0,1,0,0,6209
15,0,3,4,9,0,0,3.1898980954642875,0.0,0,0,5,11267
15,0,3,5,9,0,0,3.456564762130954,0.0,0,0,0,0
8,0,2,3,4,0,0,2.5,0.0,0,0,0,0
16,0,3,6,9,0,0,3.452819531114783,0.0,0,0,0,0
